state_vector_id,image_name,page_number,mission,camera,orbit_number,data_origin,utc_time,utc_time_str,cte_time,x1950_x,x1950_y,x1950_z,x1950_xdot,x1950_ydot,x1950_zdot,selenographic_x,selenographic_y,selenographic_z,selenographic_xdot,selenographic_ydot,selenographic_zdot,sigma_x,sigma_y,sigma_z,sigma_xdot,sigma_ydot,sigma_zdot,nadir_point,camera_axis_intersect,spacecraft_radius,mean_altitude_rate,spacecraft_altitude,phi,sigma_phi,kappa,sigma_kappa,omega,sigma_omega,x_tilt,sigma_x_tilt,y_tilt,sigma_y_tilt,heading,sigma_heading,laser_spacecraft_altitude,laser_slant_range,selenographic_cos_x,selenographic_cos_y,selenographic_cos_z,selenographic_magnitude,selenocentric_matrix_tl,selenocentric_matrix_tm,selenocentric_matrix_tr,selenocentric_matrix_ml,selenocentric_matrix_mm,selenocentric_matrix_mr,selenocentric_matrix_bl,selenocentric_matrix_bm,selenocentric_matrix_br,local_horizontal_matrix_tl,local_horizontal_matrix_tm,local_horizontal_matrix_tr,local_horizontal_matrix_ml,local_horizontal_matrix_mm,local_horizontal_matrix_mr,local_horizontal_matrix_bl,local_horizontal_matrix_bm,local_horizontal_matrix_br,photo_footprint1,photo_footprint2,photo_footprint3,photo_footprint4,right_ascension,declination,file_catalog_id,inner_photo_footprint1,inner_photo_footprint2,inner_photo_footprint3,inner_photo_footprint4
19731,AS17-P-1588,1588,AS17,P,0,4/73,1972-12-10 21:43:48.53,1972-12-10T21:43:48.53,3-16:10:48.33,1703.12,-82.03,-754.08,-0.35,-1.54,-0.47,-1568.94,-794.41,-619.13,-0.73,1.47,0.16,,,,,,,"(-19.4,-154.2)","(-154.2,-19.32)",1864.4,-0.07,126.31,13.44,0,-174.88,0,-0.27,0,-0.27,0,-13.44,0,-84.82,0,0,0,0.71,0.62,0.34,130.14,0.39565300-01,-0.92201232,-0.38513347,-0.36146629,0.34612498+00,-0.86575954,0.93154528+00,0.17346679+00,-0.31958185,-0.96861953,0.087895245-01,0.23248775+00,-0.0089241795,-0.99599867,0.47407371-02,0.23197417+00,-0.016155666,0.97258772+00,"(-13.184,-153.228)","(-25.634,-154.482)","(-25.923,-155.551)","(-12.732,-154.124)",,,167145,"(-16.394,-153.492)","(-22.348,-154.087)","(-22.421,-155.027)","(-16.161,-154.36)"
19732,AS17-P-1589,1589,AS17,P,0,4/73,1972-12-10 21:43:54.94,1972-12-10T21:43:54.94,3-16:10:54.74,1700.82,-91.93,-757.09,-0.36,-1.54,-0.47,-1573.62,-784.92,-618.1,-0.72,1.48,0.16,,,,,,,"(-19.37,-152.59)","(-152.59,-19.46)",1863.91,-0.06,125.89,-11.56,0,-174.77,0,-0.28,0,-0.28,0,11.56,0,-84.82,0,0,0,0.92,0.28,0.3,128.69,-0.36272181,-0.9075958,-0.21143004,-0.36126569,0.34608737+00,-0.8658583,0.85902263+00,-0.2376833,-0.45341667,-0.97573393,0.88384627-01,-0.20032812,-0.091224972,-0.99581787,0.89735953-02,-0.19905076,0.23127841-01,0.97971619+00,"(-13.077,-151.489)","(-26.062,-152.612)","(-25.659,-153.583)","(-13.312,-152.425)",,,167146,"(-16.425,-151.86)","(-22.6,-152.398)","(-22.395,-153.291)","(-16.484,-152.738)"
19733,AS17-P-1590,1590,AS17,P,0,4/73,1972-12-10 21:44:01.34,1972-12-10T21:44:01.34,3-16:11:1.14,1698.97,-101.8,-760.07,-0.37,-1.54,-0.46,-1578.24,-775.43,-617.06,-0.72,1.48,0.16,,,,,,,"(-19.34,-154.88)","(-154.88,-19.26)",1863.57,-0.06,125.48,13.43,0,-174.65,0,-0.32,0,-0.32,0,-13.43,0,-84.58,0,0,0,0.72,0.61,0.34,129.28,0.28920012-01,-0.92403331,-0.38121647,-0.36071357,0.34603081+00,-0.86611106,0.93222811+00,0.16255789+00,-0.32330416,-0.96828311,0.91940012-01,0.23232475+00,-0.093195374,-0.99563213,0.55908089-02,0.23182398+00,-0.016238117,0.97262215+00,"(-13.183,-153.89)","(-25.538,-155.188)","(-25.822,-156.252)","(-12.734,-154.777)",,,167147,"(-16.36,-154.165)","(-22.272,-154.781)","(-22.341,-155.715)","(-16.126,-155.025)"
19734,AS17-P-1591,1591,AS17,P,0,4/73,1972-12-10 21:44:07.75,1972-12-10T21:44:07.75,3-16:11:7.55,1696.07,-111.7,-763.04,-0.38,-1.54,-0.46,-1582.82,-765.89,-615.99,-0.71,1.49,0.17,,,,,,,"(-19.31,-153.29)","(-153.29,-19.41)",1863.15,-0.06,125.06,-11.57,0,-174.54,0,-0.33,0,-0.33,0,11.57,0,-84.61,0,0,0,0.93,0.23,0.3,127.85,-0.37266785,-0.904748,-0.20627562,-0.3605143,0.3459864+00,-0.86621176,0.85507193+00,-0.248444,-0.45511261,-0.97535244,0.92078676-01,-0.20052194,-0.0951727,-0.99544372,0.58239307-02,-0.19907208,0.24764608-01,0.97967185+00,"(-13.084,-152.169)","(-25.971,-153.335)","(-25.567,-154.298)","(-13.312,-153.098)",,,167148,"(-16.397,-152.549)","(-22.529,-153.107)","(-22.321,-153.994)","(-16.452,-153.42)"
19735,AS17-P-1592,1592,AS17,P,0,4/73,1972-12-10 21:44:14.15,1972-12-10T21:44:14.15,3-16:11:13.96,1693.61,-121.57,-765.97,-0.39,-1.54,-0.46,-1587.34,-756.34,-614.91,-0.7,1.49,0.17,,,,,,,"(-19.28,-155.56)","(-155.56,-19.2)",1862.74,-0.06,124.65,13.43,0,-174.44,0,-0.35,0,-0.35,0,-13.43,0,-84.35,0,0,0,0.72,0.6,0.34,128.42,0.18180345-01,-0.92584893,-0.37745618,-0.36015364,0.34611160+00,-0.86631177,0.93271578+00,0.15169205+00,-0.32715545,-0.96795075,0.95734969-01,0.23217683+00,-0.096951535,-0.99526982,0.61925823-02,0.23167142+00,-0.016515795,0.97265383+00,"(-13.176,-154.555)","(-25.437,-155.893)","(-25.715,-156.951)","(-12.728,-155.432)",,,167149,"(-16.322,-154.84)","(-22.192,-155.475)","(-22.257,-156.403)","(-16.086,-155.693)"
19736,AS17-P-1593,1593,AS17,P,0,4/73,1972-12-10 21:44:20.57,1972-12-10T21:44:20.57,3-16:11:20.38,1691.1,-131.47,-768.89,-0.4,-1.54,-0.45,-1591.83,-746.74,-613.81,-0.69,1.49,0.17,,,,,,,"(-19.24,-153.98)","(-153.98,-19.35)",1862.33,-0.06,124.24,-11.58,0,-174.32,0,-0.37,0,-0.37,0,11.58,0,-84.4,0,0,0,0.93,0.22,0.3,127.02,-0.38263035,-0.9017245,-0.20121338,-0.35990557,0.34605843+00,-0.8664361,0.85091826+00,-0.25910696,-0.45694815,-0.97497345,0.95618244-01,-0.20070833,-0.098923408,-0.99507394,0.64796252-02,-0.19910008,0.26172223-01,0.97962956+00,"(-13.083,-152.851)","(-25.875,-154.058)","(-25.469,-155.012)","(-13.306,-153.773)",,,167150,"(-16.364,-153.239)","(-22.453,-153.816)","(-22.244,-154.696)","(-16.416,-154.103)"
19737,AS17-P-1594,1594,AS17,P,0,4/73,1972-12-10 21:44:26.98,1972-12-10T21:44:26.98,3-16:11:26.78,1688.53,-141.35,-771.78,-0.4,-1.54,-0.45,-1596.25,-737.14,-612.69,-0.69,1.5,0.18,,,,,,,"(-19.21,-156.24)","(-156.24,-19.14)",1861.93,-0.06,123.84,13.42,0,-174.21,0,-0.38,0,-0.38,0,-13.42,0,-84.12,0,0,0,0.73,0.59,0.34,127.58,0.74929269-02,-0.92760077,-0.37349778,-0.35970722,0.3460059+00,-0.86653944,0.93303508+00,0.14084275+00,-0.33107211,-0.96758502,0.99686509-01,0.23203827+00,-0.1008882,-0.9948751,0.67130115-02,0.23151827+00,-0.016914523,0.97268344+00,"(-13.163,-155.219)","(-25.332,-156.6)","(-25.604,-157.65)","(-12.717,-156.088)",,,167151,"(-16.28,-155.515)","(-22.109,-156.171)","(-22.169,-157.092)","(-16.044,-156.36)"
19738,AS17-P-1595,1595,AS17,P,0,4/73,1972-12-10 21:44:33.4,1972-12-10T21:44:33.4,3-16:11:33.21,1685.91,-151.24,-774.66,-0.41,-1.54,-0.45,-1600.64,-727.49,-611.54,-0.68,1.5,0.18,,,,,,,"(-19.18,-154.68)","(-154.68,-19.29)",1861.52,-0.06,123.43,-11.59,0,-174.1,0,-0.39,0,-0.39,0,11.59,0,-84.18,0,0,0,0.93,0.21,0.3,126.19,-0.39240844,-0.89868486,-0.19591082,-0.35968424,0.34596417+00,-0.86656564,0.84654755+00,-0.26958167,-0.45900204,-0.97456616,0.9941423-01,-0.20064201,-0.10285733,-0.99467317,0.67547990-02,-0.19910067,0.027241081-01,0.97960031+00,"(-13.074,-153.531)","(-25.77,-154.782)","(-25.364,-155.727)","(-13.291,-154.447)",,,167152,"(-16.326,-153.928)","(-22.373,-154.526)","(-22.161,-155.399)","(-16.374,-154.787)"
19739,AS17-P-1596,1596,AS17,P,0,4/73,1972-12-10 21:44:39.81,1972-12-10T21:44:39.81,3-16:11:39.61,1683.25,-161.1,-777.5,-0.42,-1.54,-0.44,-1604.97,-717.84,-610.38,-0.67,1.5,0.18,,,,,,,"(-19.15,-156.93)","(-156.93,-19.07)",1861.12,-0.06,123.03,13.41,0,-173.98,0,-0.41,0,-0.41,0,-13.41,0,-83.89,0,0,0,0.74,0.58,0.34,126.74,-0.0032025812,-0.92922547,-0.36949925,-0.35931246,0.34589394+00,-0.86674789,0.93321176+00,0.12998984+00,-0.33499006,-0.96720343,0.10361270+00,0.23190917+00,-0.10481166,-0.99446615,0.71799294-02,0.23136974+00,-0.017362342,0.97271089+00,"(-13.147,-155.885)","(-25.224,-157.306)","(-25.49,-158.35)","(-12.703,-156.744)",,,167153,"(-16.235,-156.19)","(-22.022,-156.866)","(-22.079,-157.781)","(-15.997,-157.029)"
19740,AS17-P-1597,1597,AS17,P,0,4/73,1972-12-10 21:44:46.23,1972-12-10T21:44:46.23,3-16:11:46.03,1680.52,-170.98,-780.32,-0.43,-1.54,-0.44,-1609.25,-708.15,-609.2,-0.66,1.51,0.19,,,,,,,"(-19.11,-155.37)","(-155.37,-19.23)",1860.72,-0.06,122.63,-11.6,0,-173.87,0,-0.41,0,-0.41,0,11.6,0,-83.96,0,0,0,0.94,0.19,0.29,125.38,-0.40230984,-0.89545797,-0.1905301,-0.35928974,0.34584835+00,-0.8667755,0.84205556+00,-0.28025684,-0.46086707,-0.97411365,0.10314934+00,-0.20115347,-0.10677381,-0.99425708,0.72228819-02,-0.19925325,0.028513841-01,0.97953306+00,"(-13,-154.211)","(-25.067,-155.505)","(-25.259,-156.441)","(-13.275,-155.12)",,,167155,"(-16.286,-154.616)","(-22.291,-155.236)","(-22.077,-156.102)","(-16.331,-155.469)"
